,,"Violent Crime Rates (per 100,000 population)",,,,
Quebec (50),Forcible confinement (34),0.81,5.29,12.3,15.74,13.89
Quebec (50),Total abduction,1.48,1.51,1.68,1.3,1.44
Quebec (50),"Abduction under the age 14, not parent or guardian",0.3,0.32,0.19,0.14,0.29
Quebec (50),Abduction under the age 16,0.14,0.03,0.13,0.03,0.06
Quebec (50),Removal of children from Canada,0,0,0.01,0.05,0.02
Quebec (50),Abduction under the age 14 contravening a custody order,0.81,0.95,1,0.68,0.79
Quebec (50),"Abduction under age 14, by parent or guardian",0.23,0.22,0.35,0.41,0.27
Quebec (50),Extortion,5.83,6.56,6.48,6.97,8.91
Quebec (50),Criminal harassment (36),54.45,55.43,55.39,58.47,62.87
Quebec (50),Uttering threats,221.65,221.01,216.57,207.09,214.63
Quebec (50),Threatening or harassing phone calls,22.86,22.66,19.71,19.23,17.99
Quebec (50),Total other violent violations,15.51,17.98,17.52,18.88,21.28
Quebec (50),Conspire to commit murder,0.12,0.19,0.08,0.16,0.19
Quebec (50),Other sexual violations,8.22,0.32,0.3,0.05,0.05
Quebec (50),Sexual Exploitation of a person with a disability,0,0,0.03,0.03,0
Quebec (50),Incest,0.32,1.21,0.72,0.93,0.97
Quebec (50),Corrupting morals of a child,0.08,0.1,0.09,0.06,0.15
Quebec (50),Anal intercourse,0.08,0.08,0.09,0.04,0.07
Quebec (50),"Bestiality, commit or compel person",0,0.01,0.06,0.05,0.01
Quebec (50),Voyeurism,0.63,1.04,0.89,1.22,1.56
Quebec (50),Trap likely to or causing bodily harm,0,0,0,0,0.02
Quebec (50),Hostage-taking,0.01,0.05,0.03,0.05,0
Quebec (50),Trafficking in persons,0.04,0.04,0.06,0.13,0.04
Quebec (50),Intimidation of a justice system participant or a journalist,1.29,3.55,2.85,3.8,4.85
Quebec (50),Intimidation of a non-justice participant,3.47,10.52,11.23,11.43,11.98
Quebec (50),Explosives causing death or bodily harm,0.05,0.03,0.08,0.03,0.05
Quebec (50),"Arson, disregard for human life",0.41,0.18,0.33,0.41,0.67
Quebec (50),Other violent violations,0.79,0.66,0.7,0.5,0.66
Ontario (7),Total violent Criminal Code violations (16),1046.13,1006.16,986.53,949.46,901.27
Ontario (7),"Homicide (17,24)",1.36,1.36,1.43,1.2,1.2
Ontario (7),"Murder, first degree (17,24)",0.71,0.76,0.72,0.57,0.64
Ontario (7),"Murder, second degree (17,24)",0.56,0.54,0.57,0.55,0.5
Ontario (7),"Manslaughter (17,24)",0.09,0.07,0.14,0.09,0.05
Ontario (7),"Infanticide (17,24)",0,0,0,0,0.01
Ontario (7),Total other violations causing death,0.22,0.34,0.19,0.17,0.16
Ontario (7),Criminal negligence causing death,0.22,0.34,0.18,0.17,0.16
Ontario (7),Other related violations causing death,0,0,0.01,0,0.01
Ontario (7),Attempted murder,2.13,2.24,1.87,1.67,1.95
Ontario (7),"Sexual assault, level 3, aggravated",0.32,0.23,0.36,0.44,0.34
Ontario (7),"Sexual assault, level 2, weapon or bodily harm",0.86,1.06,1.13,1.2,1.19
Ontario (7),"Sexual assault, level 1",55.99,53.39,57.05,57,57.55
Ontario (7),Total sexual violations against children (26),2.67,4.25,5.84,6.32,6.77
Ontario (7),Sexual interference (26),0.87,2.05,3.06,2.9,3.35
Ontario (7),Invitation to sexual touching (26),0.73,0.95,1.23,1.58,1.36
Ontario (7),Sexual exploitation (26),0.39,0.35,0.32,0.23,0.29
Ontario (7),Making sexually explicit material available to children (48),,,,,0.04
Ontario (7),Luring a child via a computer (26),0.66,0.9,1.23,1.61,1.73
Ontario (7),"Assault, level 3, aggravated",10.08,9.21,8.42,8.04,7.98
Ontario (7),"Assault, level 2, weapon or bodily harm",114.92,110.31,107.36,101.6,97.6
Ontario (7),"Assault, level 1",411.75,392.16,384.85,377.05,356.79
Ontario (7),"Total assaults against a peace officer (25,35)",21.99,23.81,26.9,24.91,20.66
Ontario (7),Total other assaults,17.24,16.72,16.13,14.33,13.73
Ontario (7),Unlawfully causing bodily harm,2.41,2.91,2.72,2.3,2.33
Ontario (7),Criminal negligence causing bodily harm,0.51,0.79,0.67,0.65,0.42
Ontario (7),Other assaults,14.31,13.02,12.74,11.38,10.98
Ontario (7),"Total firearms; use of, discharge, pointing",3.43,4.15,4.27,3.7,3.69
Ontario (7),Discharge firearm with intent,0.8,1.12,1.22,1.12,1.11
Ontario (7),Using firearm in commission of offence,0.69,1.16,1.13,0.91,0.97
Ontario (7),Pointing a firearm,1.94,1.87,1.91,1.66,1.61
Ontario (7),Total robbery (18),92.35,93.22,87.6,86.18,79.49
Ontario (7),Robbery (18),92.35,93.21,87.56,86.13,79.47
Ontario (7),Robbery to steal a firearm (18),0,0.02,0.04,0.04,0.02
Ontario (7),Total forcible confinement or kidnapping (34),14.34,13.7,11,8.01,8.23
Ontario (7),Forcible confinement or kidnapping (34),14.3,13.46,6.65,1.08,0.81
Ontario (7),Kidnapping (34),0.01,0.01,0.29,0.39,0.47
Ontario (7),Forcible confinement (34),0.04,0.24,4.06,6.53,6.95
Ontario (7),Total abduction,0.8,0.8,0.75,0.55,0.71
Ontario (7),"Abduction under the age 14, not parent or guardian",0.38,0.31,0.38,0.16,0.3
Ontario (7),Abduction under the age 16,0.09,0.1,0.08,0.07,0.09
Ontario (7),Removal of children from Canada,0.02,0.01,0,0.05,0.01
Ontario (7),Abduction under the age 14 contravening a custody order,0.14,0.15,0.14,0.11,0.15
Ontario (7),"Abduction under age 14, by parent or guardian",0.17,0.23,0.16,0.16,0.17
Ontario (7),Extortion,3.71,4.67,4.05,3.36,3.42
Ontario (7),Criminal harassment (36),67.36,70.59,72.79,72.32,71.75
Ontario (7),Uttering threats,153.04,145.47,138.52,129.36,122.36
Ontario (7),Threatening or harassing phone calls,63.93,52.07,47.59,38.98,34.67
Ontario (7),Total other violent violations,7.64,6.42,8.45,13.07,11.02
Ontario (7),Conspire to commit murder,0.05,0.05,0.04,0.06,0.13
Ontario (7),Other sexual violations,2.11,0.46,0.08,0.09,0.08
Ontario (7),Sexual Exploitation of a person with a disability,0,0,0.05,0.05,0.1
Ontario (7),Incest,0.16,0.35,0.41,0.41,0.41
Ontario (7),Corrupting morals of a child,0.01,0.06,0.11,0.08,0.08
Ontario (7),Anal intercourse,0.04,0.05,0.08,0.07,0.05
Ontario (7),"Bestiality, commit or compel person",0,0.02,0.02,0.04,0.01
Ontario (7),Voyeurism,0.98,1.04,1.14,1.98,1.89
Ontario (7),Trap likely to or causing bodily harm,0.02,0.03,0.01,0,0.02
Ontario (7),Hostage-taking,0.02,0.11,0.01,0,0.02
Ontario (7),Trafficking in persons,0.04,0.19,0.08,0.2,0.3
Ontario (7),Intimidation of a justice system participant or a journalist,0.52,0.41,0.54,0.57,0.52
Ontario (7),Intimidation of a non-justice participant,0.02,0.31,0.33,0.47,0.27
Ontario (7),Explosives causing death or bodily harm,0.06,0.05,0.05,0.03,0.04
Ontario (7),"Arson, disregard for human life",0.87,0.93,1.05,0.88,0.95
Ontario (7),Other violent violations,2.74,2.36,4.45,8.13,6.15
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total violent Criminal Code violations (16),916.03,912.97,840.57,822.59,798.88
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Homicide (17,24)",1.24,0.98,1.13,1.27,1.02
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Murder, first degree (17,24)",0.58,0.24,0.48,0.8,0.71
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Murder, second degree (17,24)",0.5,0.73,0.4,0.24,0.31
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Manslaughter (17,24)",0.17,0,0.24,0.24,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Infanticide (17,24)",,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other violations causing death,0.08,0,0.16,0.08,0.08
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Criminal negligence causing death,0.08,0,0.16,0.08,0.08
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Other related violations causing death,0,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Attempted murder,1.9,2.12,2.1,1.11,1.1
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Sexual assault, level 3, aggravated",0.5,0.16,0.48,0.32,0.55
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Sexual assault, level 2, weapon or bodily harm",0.58,0.9,0.56,0.72,0.86
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Sexual assault, level 1",36.51,36.45,41.72,40.5,43.93
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total sexual violations against children (26),2.73,3.91,6.13,9.71,6.52
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Sexual interference (26),0.91,1.47,2.42,2.63,2.83
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Invitation to sexual touching (26),0.41,1.22,0.48,1.67,0.71
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Sexual exploitation (26),0.25,0,0.24,0.16,0.08
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Making sexually explicit material available to children (48),,,,,0.08
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Luring a child via a computer (26),1.16,1.22,2.99,5.25,2.83
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Assault, level 3, aggravated",9.25,12.72,7.02,8.35,8.02
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Assault, level 2, weapon or bodily harm",91.11,87.66,81.1,73.84,71.27
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Assault, level 1",342.29,339.96,308.84,314.62,307.34
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total assaults against a peace officer (25,35)",26.93,27.56,23.89,23.79,26.17
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other assaults,27.67,31.88,32.52,28.17,28.76
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Unlawfully causing bodily harm,22.55,27.32,25.5,21.32,22.55
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Criminal negligence causing bodily harm,0.17,0.65,0.4,0.24,0.16
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Other assaults,4.96,3.91,6.62,6.6,6.05
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total firearms; use of, discharge, pointing",2.97,2.77,3.95,4.06,4.16
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Discharge firearm with intent,0.25,0.41,0.4,0.72,0.55
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Using firearm in commission of offence,1.16,1.14,1.78,1.83,1.89
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Pointing a firearm,1.57,1.22,1.78,1.51,1.73
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total robbery (18),87.23,96.96,78.12,77.18,70.65
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Robbery (18),87.23,96.96,78.12,77.18,70.65
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Robbery to steal a firearm (18),,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total forcible confinement or kidnapping (34),16.35,11.99,8.07,10.18,10.14
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Forcible confinement or kidnapping (34),16.27,11.58,2.58,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Kidnapping (34),,,0.65,1.27,0.47
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Forcible confinement (34),0.08,0.41,4.84,8.91,9.67
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total abduction,0.66,1.63,1.45,0.8,1.65
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Abduction under the age 14, not parent or guardian",0.17,0.33,0.56,0.32,0.47
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Abduction under the age 16,0.08,0.08,0.24,0.16,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Removal of children from Canada,0,0,0,0.32,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Abduction under the age 14 contravening a custody order,0.41,0.9,0.4,0,0.79
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Abduction under age 14, by parent or guardian",0,0.33,0.24,0,0.39
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Extortion,3.55,6.36,3.39,2.63,3.38
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Criminal harassment (36),41.96,44.93,41.48,40.34,41.49
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Uttering threats,142.73,133.81,127.91,123.89,118.19
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Threatening or harassing phone calls,74.75,64.01,61.98,51.8,42.59
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other violent violations,5.04,6.2,8.55,9.23,11
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Conspire to commit murder,0,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Other sexual violations,0.91,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Sexual Exploitation of a person with a disability,0,0,0.08,0.08,0.24
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Incest,0.41,0.49,0.32,0.32,0.79
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Corrupting morals of a child,0,0,0,0.08,0.24
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Anal intercourse,0.25,0.24,0.16,0.08,0.16
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Bestiality, commit or compel person",,,0.08,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Voyeurism,0.33,0.57,1.21,1.03,0.94
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Trap likely to or causing bodily harm,0.08,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Hostage-taking,0.08,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Trafficking in persons,0,0,0.08,0.32,0.47
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Intimidation of a justice system participant or a journalist,0.58,1.06,1.94,1.27,2.28
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Intimidation of a non-justice participant,0.83,2.04,1.61,4.62,3.77
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Explosives causing death or bodily harm,0.08,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Arson, disregard for human life",0.83,0.9,1.37,0.56,0.86
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Other violent violations,0.66,0.9,1.69,0.88,1.26
"Ottawa-Gatineau, Ontario part (6,52)",Total violent Criminal Code violations (16),780.54,769.52,710.26,659.87,644.39
"Ottawa-Gatineau, Ontario part (6,52)","Homicide (17,24)",1.2,1.08,1.39,1.16,0.73
"Ottawa-Gatineau, Ontario part (6,52)","Murder, first degree (17,24)",0.44,0.22,0.64,0.64,0.42
"Ottawa-Gatineau, Ontario part (6,52)","Murder, second degree (17,24)",0.55,0.86,0.54,0.32,0.31
"Ottawa-Gatineau, Ontario part (6,52)","Manslaughter (17,24)",0.22,0,0.21,0.21,0
"Ottawa-Gatineau, Ontario part (6,52)","Infanticide (17,24)",,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Total other violations causing death,0.11,0,0.21,0.11,0.1
"Ottawa-Gatineau, Ontario part (6,52)",Criminal negligence causing death,0.11,0,0.21,0.11,0.1
"Ottawa-Gatineau, Ontario part (6,52)",Other related violations causing death,0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Attempted murder,1.64,1.73,1.82,0.85,1.05
"Ottawa-Gatineau, Ontario part (6,52)","Sexual assault, level 3, aggravated",0.66,0.22,0.54,0.32,0.73
"Ottawa-Gatineau, Ontario part (6,52)","Sexual assault, level 2, weapon or bodily harm",0.33,1.08,0.75,0.74,0.63
"Ottawa-Gatineau, Ontario part (6,52)","Sexual assault, level 1",35.86,31.56,41.17,38.21,40.56
"Ottawa-Gatineau, Ontario part (6,52)",Total sexual violations against children (26),2.84,3.46,6,9.53,5.23
"Ottawa-Gatineau, Ontario part (6,52)",Sexual interference (26),0.98,0.97,1.61,1.59,1.57
"Ottawa-Gatineau, Ontario part (6,52)",Invitation to sexual touching (26),0.44,1.19,0.21,1.06,0.1
"Ottawa-Gatineau, Ontario part (6,52)",Sexual exploitation (26),0.33,0,0.32,0.21,0.1
"Ottawa-Gatineau, Ontario part (6,52)",Making sexually explicit material available to children (48),,,,,0.1
"Ottawa-Gatineau, Ontario part (6,52)",Luring a child via a computer (26),1.09,1.3,3.86,6.67,3.34
"Ottawa-Gatineau, Ontario part (6,52)","Assault, level 3, aggravated",9.95,12.21,8.79,8.68,7.84
"Ottawa-Gatineau, Ontario part (6,52)","Assault, level 2, weapon or bodily harm",74.35,75.56,65.19,57.69,55.71
"Ottawa-Gatineau, Ontario part (6,52)","Assault, level 1",278.91,267.32,244.9,236.15,233.4
"Ottawa-Gatineau, Ontario part (6,52)","Total assaults against a peace officer (25,35)",17.71,21.94,18.12,17.15,18.4
"Ottawa-Gatineau, Ontario part (6,52)",Total other assaults,34.99,41.83,43.1,37.26,37.94
"Ottawa-Gatineau, Ontario part (6,52)",Unlawfully causing bodily harm,29.85,36.21,33.88,28.37,29.89
"Ottawa-Gatineau, Ontario part (6,52)",Criminal negligence causing bodily harm,0,0.43,0.43,0.21,0.21
"Ottawa-Gatineau, Ontario part (6,52)",Other assaults,5.14,5.19,8.79,8.68,7.84
"Ottawa-Gatineau, Ontario part (6,52)","Total firearms; use of, discharge, pointing",3.39,3.03,2.9,4.13,3.76
"Ottawa-Gatineau, Ontario part (6,52)",Discharge firearm with intent,0.22,0.43,0.21,0.85,0.52
"Ottawa-Gatineau, Ontario part (6,52)",Using firearm in commission of offence,1.42,1.3,1.07,1.8,1.88
"Ottawa-Gatineau, Ontario part (6,52)",Pointing a firearm,1.75,1.3,1.61,1.48,1.36
"Ottawa-Gatineau, Ontario part (6,52)",Total robbery (18),95.01,109.18,88.78,88.28,81.32
"Ottawa-Gatineau, Ontario part (6,52)",Robbery (18),95.01,109.18,88.78,88.28,81.32
"Ottawa-Gatineau, Ontario part (6,52)",Robbery to steal a firearm (18),,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Total forcible confinement or kidnapping (34),15.96,12.43,6.76,7.2,7.84
"Ottawa-Gatineau, Ontario part (6,52)",Forcible confinement or kidnapping (34),15.96,12.43,2.36,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Kidnapping (34),,,0.75,0.74,0.31
"Ottawa-Gatineau, Ontario part (6,52)",Forcible confinement (34),,,3.65,6.46,7.53
"Ottawa-Gatineau, Ontario part (6,52)",Total abduction,0.11,0.65,0.97,0.95,0.94
"Ottawa-Gatineau, Ontario part (6,52)","Abduction under the age 14, not parent or guardian",0.11,0.11,0.43,0.32,0.42
"Ottawa-Gatineau, Ontario part (6,52)",Abduction under the age 16,0,0,0.11,0.21,0
"Ottawa-Gatineau, Ontario part (6,52)",Removal of children from Canada,0,0,0,0.42,0
"Ottawa-Gatineau, Ontario part (6,52)",Abduction under the age 14 contravening a custody order,0,0.22,0.11,0,0.31
"Ottawa-Gatineau, Ontario part (6,52)","Abduction under age 14, by parent or guardian",0,0.32,0.32,0,0.21
"Ottawa-Gatineau, Ontario part (6,52)",Extortion,3.61,7.03,2.9,2.33,2.51
"Ottawa-Gatineau, Ontario part (6,52)",Criminal harassment (36),29.74,29.73,29.06,26.78,25.61
"Ottawa-Gatineau, Ontario part (6,52)",Uttering threats,79.6,72.31,71.41,61.18,67.31
"Ottawa-Gatineau, Ontario part (6,52)",Threatening or harassing phone calls,90.31,73.07,68.62,56.21,46.1
"Ottawa-Gatineau, Ontario part (6,52)",Total other violent violations,4.26,4.11,6.86,4.97,6.69
"Ottawa-Gatineau, Ontario part (6,52)",Conspire to commit murder,0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Other sexual violations,0.87,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Sexual Exploitation of a person with a disability,0,0,0.11,0.11,0.31
"Ottawa-Gatineau, Ontario part (6,52)",Incest,0.33,0.54,0.32,0.21,0.73
"Ottawa-Gatineau, Ontario part (6,52)",Corrupting morals of a child,0,0,0,0.11,0.31
"Ottawa-Gatineau, Ontario part (6,52)",Anal intercourse,0.22,0.32,0.21,0.11,0.21
"Ottawa-Gatineau, Ontario part (6,52)","Bestiality, commit or compel person",0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Voyeurism,0.44,0.54,1.29,0.95,0.73
"Ottawa-Gatineau, Ontario part (6,52)",Trap likely to or causing bodily harm,0.11,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Hostage-taking,0.11,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Trafficking in persons,0,0,0.11,0.42,0.63
"Ottawa-Gatineau, Ontario part (6,52)",Intimidation of a justice system participant or a journalist,0.33,0.43,0.75,0.64,0.63
"Ottawa-Gatineau, Ontario part (6,52)",Intimidation of a non-justice participant,0,0.32,0,0.64,0.63
"Ottawa-Gatineau, Ontario part (6,52)",Explosives causing death or bodily harm,0.11,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Arson, disregard for human life",1.09,1.19,1.82,0.74,1.15
"Ottawa-Gatineau, Ontario part (6,52)",Other violent violations,0.66,0.76,2.25,1.06,1.36
"Kingston, Ontario (8)",Total violent Criminal Code violations (16),1189.14,1127.66,999.06,1040.71,1091.66
"Kingston, Ontario (8)","Homicide (17,24)",0.63,2.52,1.87,0,0
"Kingston, Ontario (8)","Murder, first degree (17,24)",0,2.52,0.62,0,0
"Kingston, Ontario (8)","Murder, second degree (17,24)",0.63,0,1.25,0,0
"Kingston, Ontario (8)","Manslaughter (17,24)",0,0,0,0,0
"Kingston, Ontario (8)","Infanticide (17,24)",,,0,0,0
"Kingston, Ontario (8)",Total other violations causing death,0,0,0,0,0
"Kingston, Ontario (8)",Criminal negligence causing death,0,0,0,0,0
"Kingston, Ontario (8)",Other related violations causing death,0,0,0,0,0
"Kingston, Ontario (8)",Attempted murder,1.27,0.63,0.62,1.24,1.23
"Kingston, Ontario (8)","Sexual assault, level 3, aggravated",0,0,0,0,0
"Kingston, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",0.63,0,1.25,0,1.85
"Kingston, Ontario (8)","Sexual assault, level 1",76.82,61.07,73.68,71.94,94.87
"Kingston, Ontario (8)",Total sexual violations against children (26),10.16,9.44,6.87,8.68,11.71
"Kingston, Ontario (8)",Sexual interference (26),3.17,4.41,5.62,6.82,6.78
"Kingston, Ontario (8)",Invitation to sexual touching (26),5.71,2.52,0.62,1.24,0.62
"Kingston, Ontario (8)",Sexual exploitation (26),0.63,0,0,0,1.23
"Kingston, Ontario (8)",Making sexually explicit material available to children (48),,,,,0.62
"Kingston, Ontario (8)",Luring a child via a computer (26),0.63,2.52,0.62,0.62,2.46
"Kingston, Ontario (8)","Assault, level 3, aggravated",8.89,6.3,6.24,6.82,6.78
"Kingston, Ontario (8)","Assault, level 2, weapon or bodily harm",86.34,82.48,74.93,78.15,80.7
"Kingston, Ontario (8)","Assault, level 1",402.52,403.59,367.78,368.4,393.05
"Kingston, Ontario (8)","Total assaults against a peace officer (25,35)",35.55,35.89,21.85,28.53,25.26
"Kingston, Ontario (8)",Total other assaults,10.16,8.81,7.49,4.34,3.08
"Kingston, Ontario (8)",Unlawfully causing bodily harm,2.54,1.26,0,0.62,0.62
"Kingston, Ontario (8)",Criminal negligence causing bodily harm,0.63,0,0,0,0.62
"Kingston, Ontario (8)",Other assaults,6.98,7.56,7.49,3.72,1.85
"Kingston, Ontario (8)","Total firearms; use of, discharge, pointing",0.63,0.63,1.25,0,1.23
"Kingston, Ontario (8)",Discharge firearm with intent,0.63,0.63,1.25,0,0
"Kingston, Ontario (8)",Using firearm in commission of offence,0,0,0,0,0.62
"Kingston, Ontario (8)",Pointing a firearm,0,0,0,0,0.62
"Kingston, Ontario (8)",Total robbery (18),29.84,46.59,23.1,20.47,22.18
"Kingston, Ontario (8)",Robbery (18),29.84,46.59,23.1,20.47,22.18
"Kingston, Ontario (8)",Robbery to steal a firearm (18),,,0,0,0
"Kingston, Ontario (8)",Total forcible confinement or kidnapping (34),15.87,16.37,11.86,13.64,12.32
"Kingston, Ontario (8)",Forcible confinement or kidnapping (34),15.87,16.37,11.86,13.64,11.71
"Kingston, Ontario (8)",Kidnapping (34),,,0,0,0
"Kingston, Ontario (8)",Forcible confinement (34),,,0,0,0.62
"Kingston, Ontario (8)",Total abduction,0,0,1.87,0,0.62
"Kingston, Ontario (8)","Abduction under the age 14, not parent or guardian",0,0,0.62,0,0
"Kingston, Ontario (8)",Abduction under the age 16,0,0,0,0,0
"Kingston, Ontario (8)",Removal of children from Canada,0,0,0,0,0
"Kingston, Ontario (8)",Abduction under the age 14 contravening a custody order,0,0,1.25,0,0
"Kingston, Ontario (8)","Abduction under age 14, by parent or guardian",0,0,0,0,0.62
"Kingston, Ontario (8)",Extortion,1.9,2.52,0.62,3.72,4.93
"Kingston, Ontario (8)",Criminal harassment (36),174.59,92.56,98.03,98.61,92.41
"Kingston, Ontario (8)",Uttering threats,195.54,197.07,139.87,156.91,162.02
"Kingston, Ontario (8)",Threatening or harassing phone calls,133.96,156.15,157.98,171.18,163.26
"Kingston, Ontario (8)",Total other violent violations,3.81,5.04,1.87,8.06,14.17
"Kingston, Ontario (8)",Conspire to commit murder,0,0,0,0.62,1.85
"Kingston, Ontario (8)",Other sexual violations,1.9,1.89,0,0,0
"Kingston, Ontario (8)",Sexual Exploitation of a person with a disability,0,0,0,0,0
"Kingston, Ontario (8)",Incest,0,0,0,3.1,0
"Kingston, Ontario (8)",Corrupting morals of a child,0.63,0,0,0,0
"Kingston, Ontario (8)",Anal intercourse,0,0.63,0,0,0
"Kingston, Ontario (8)","Bestiality, commit or compel person",0,0,0,0,0
"Kingston, Ontario (8)",Voyeurism,0,0,0,0.62,9.86
"Kingston, Ontario (8)",Trap likely to or causing bodily harm,,,0,0,0
"Kingston, Ontario (8)",Hostage-taking,0,0,0,0,0
"Kingston, Ontario (8)",Trafficking in persons,0,0,0,0,0
"Kingston, Ontario (8)",Intimidation of a justice system participant or a journalist,0,0,0,1.86,0
"Kingston, Ontario (8)",Intimidation of a non-justice participant,,,0.62,0,0
"Kingston, Ontario (8)",Explosives causing death or bodily harm,0.63,0,0,0,0
"Kingston, Ontario (8)","Arson, disregard for human life",0,0.63,0,0.62,0
"Kingston, Ontario (8)",Other violent violations,0.63,1.89,1.25,1.24,2.46
"Peterborough, Ontario (8)",Total violent Criminal Code violations (16),952.18,897.92,838.97,836.5,812.16
"Peterborough, Ontario (8)","Homicide (17,24)",0.83,0.83,1.65,2.47,1.65
"Peterborough, Ontario (8)","Murder, first degree (17,24)",0.83,0,0.83,1.65,0.82
"Peterborough, Ontario (8)","Murder, second degree (17,24)",0,0.83,0.83,0.82,0.82
"Peterborough, Ontario (8)","Manslaughter (17,24)",,,0,0,0
"Peterborough, Ontario (8)","Infanticide (17,24)",,,0,0,0
"Peterborough, Ontario (8)",Total other violations causing death,0.83,1.66,0,0,0
"Peterborough, Ontario (8)",Criminal negligence causing death,0.83,1.66,0,0,0
"Peterborough, Ontario (8)",Other related violations causing death,,,0,0,0
"Peterborough, Ontario (8)",Attempted murder,8.32,2.49,1.65,0.82,4.12
"Peterborough, Ontario (8)","Sexual assault, level 3, aggravated",,,1.65,0,0
"Peterborough, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",1.66,1.66,2.48,0,1.65
"Peterborough, Ontario (8)","Sexual assault, level 1",92.39,59.86,61.11,66.82,65.96
"Peterborough, Ontario (8)",Total sexual violations against children (26),2.5,3.33,1.65,4.12,6.6
"Peterborough, Ontario (8)",Sexual interference (26),1.66,0.83,0,0,4.12
