,,"Violent Crime Rates (per 100,000 population)",,,,
Newfoundland and Labrador,Sexual exploitation (26),0.39,0.2,0,0.39,0.2
Newfoundland and Labrador,Making sexually explicit material available to children (48),,,,,0
Newfoundland and Labrador,Luring a child via a computer (26),0.59,1.96,3.91,4.48,4.68
Newfoundland and Labrador,"Assault, level 3, aggravated",5.73,6.87,5.67,6.04,5.85
Newfoundland and Labrador,"Assault, level 2, weapon or bodily harm",142,131.21,124.45,129.65,144.93
Newfoundland and Labrador,"Assault, level 1",674.43,691.42,665.4,697.41,712.17
Newfoundland and Labrador,"Total assaults against a peace officer (25,35)",21.33,35.95,89.48,41.14,33.36
Newfoundland and Labrador,Total other assaults,2.37,2.95,4.69,6.63,3.9
Newfoundland and Labrador,Unlawfully causing bodily harm,0.2,0.59,0.2,0.19,0
Newfoundland and Labrador,Criminal negligence causing bodily harm,0.39,0.39,0.98,0.39,0
Newfoundland and Labrador,Other assaults,1.78,1.96,3.52,6.04,3.9
Newfoundland and Labrador,"Total firearms; use of, discharge, pointing",3.95,4.71,7.62,5.65,9.36
Newfoundland and Labrador,Discharge firearm with intent,2.76,2.36,3.13,0.97,2.93
Newfoundland and Labrador,Using firearm in commission of offence,0,0.79,1.76,2.53,3.51
Newfoundland and Labrador,Pointing a firearm,1.18,1.57,2.74,2.14,2.93
Newfoundland and Labrador,Total robbery (18),27.06,22.79,31.65,21.45,27.7
Newfoundland and Labrador,Robbery (18),27.06,22.79,31.65,21.45,27.7
Newfoundland and Labrador,Robbery to steal a firearm (18),,,0,0,0
Newfoundland and Labrador,Total forcible confinement or kidnapping (34),8.49,10.8,11.14,6.63,7.02
Newfoundland and Labrador,Forcible confinement or kidnapping (34),8.49,10.8,9.96,1.56,0
Newfoundland and Labrador,Kidnapping (34),,,0.2,0.19,0.2
Newfoundland and Labrador,Forcible confinement (34),,,0.98,4.87,6.83
Newfoundland and Labrador,Total abduction,1.38,0.59,1.17,1.95,1.17
Newfoundland and Labrador,"Abduction under the age 14, not parent or guardian",0.39,0.39,0.39,0.78,0.98
Newfoundland and Labrador,Abduction under the age 16,0.2,0,0.2,0.19,0
Newfoundland and Labrador,Removal of children from Canada,0,0,0,0,0
Newfoundland and Labrador,Abduction under the age 14 contravening a custody order,0.59,0,0.39,0,0.2
Newfoundland and Labrador,"Abduction under age 14, by parent or guardian",0.2,0.2,0.2,0.97,0
Newfoundland and Labrador,Extortion,0.59,0,1.76,1.36,0.78
Newfoundland and Labrador,Criminal harassment (36),38.91,44.98,43.57,40.75,39.21
Newfoundland and Labrador,Uttering threats,349.16,358.48,374.9,385.65,389.73
Newfoundland and Labrador,Threatening or harassing phone calls,154.04,106.66,95.14,96.32,68.27
Newfoundland and Labrador,Total other violent violations,13.82,9.82,4.88,6.43,6.63
Newfoundland and Labrador,Conspire to commit murder,0.2,0.39,0,0.19,0
Newfoundland and Labrador,Other sexual violations,10.86,6.29,0,0,0
Newfoundland and Labrador,Sexual Exploitation of a person with a disability,0,0.2,0,0.39,0.2
Newfoundland and Labrador,Incest,0,0.2,0.98,0.19,0.98
Newfoundland and Labrador,Corrupting morals of a child,0,0,0,0,0.2
Newfoundland and Labrador,Anal intercourse,0,0,0.2,0,0
Newfoundland and Labrador,"Bestiality, commit or compel person",0.2,0,0,0.39,0
Newfoundland and Labrador,Voyeurism,0,0.59,0.59,0.58,0.78
Newfoundland and Labrador,Trap likely to or causing bodily harm,,,0,0,0
Newfoundland and Labrador,Hostage-taking,0,0.39,1.17,0,0
Newfoundland and Labrador,Trafficking in persons,0,0,0,0,0
Newfoundland and Labrador,Intimidation of a justice system participant or a journalist,0.39,0,0.59,0.19,0.59
Newfoundland and Labrador,Intimidation of a non-justice participant,0,0.2,0.2,0.97,0.59
Newfoundland and Labrador,Explosives causing death or bodily harm,0,0,0.2,0.58,0
Newfoundland and Labrador,"Arson, disregard for human life",0.59,0.59,0,0.78,0.59
Newfoundland and Labrador,Other violent violations,1.58,0.98,0.98,2.14,2.73
Prince Edward Island (51),Total violent Criminal Code violations (16),1142.26,1264.76,1173.49,1143.48,1168.34
Prince Edward Island (51),"Homicide (17,24)",1.43,0,0,0.69,0
Prince Edward Island (51),"Murder, first degree (17,24)",0,0,0,0.69,0
Prince Edward Island (51),"Murder, second degree (17,24)",0,0,0,0,0
